epoch,train_loss,train_acc,val_loss,val_acc,picture_val_acc,text_val_acc
0,3.6539106369018555,0.5745967741935484,0.8596247434616089,0.5625,0.375,0.546875
1,0.8624801635742188,0.6111391129032258,0.855135440826416,0.578125,0.40625,0.5625
2,0.8400996327400208,0.6262600806451613,0.8114933967590332,0.578125,0.359375,0.609375
3,0.8278229832649231,0.6373487903225806,0.8267617225646973,0.578125,0.4375,0.5625
4,0.814191460609436,0.6376008064516129,0.7737566828727722,0.625,0.484375,0.609375
5,0.8034350275993347,0.6428931451612904,0.7701734900474548,0.65625,0.546875,0.65625
6,0.7898151278495789,0.6554939516129032,0.7710072994232178,0.640625,0.546875,0.640625
7,0.7824802398681641,0.6607862903225806,0.7560915946960449,0.65625,0.546875,0.65625
8,0.7839135527610779,0.6539818548387096,0.724819540977478,0.671875,0.546875,0.671875
9,0.7766098976135254,0.6602822580645161,0.7310193777084351,0.65625,0.546875,0.671875
10,0.7683554291725159,0.6691028225806451,0.718402087688446,0.65625,0.546875,0.65625
11,0.7711263298988342,0.6617943548387096,0.7157531976699829,0.65625,0.546875,0.65625
12,0.7696931958198547,0.6587701612903226,0.7108257412910461,0.671875,0.546875,0.65625
13,0.7709214091300964,0.6565020161290323,0.7133092880249023,0.671875,0.546875,0.671875
14,0.7707009315490723,0.6635584677419355,0.7006930112838745,0.671875,0.546875,0.671875
15,0.7628213763237,0.6585181451612904,0.7012403607368469,0.65625,0.546875,0.65625
16,0.7639049887657166,0.6620463709677419,0.6926525235176086,0.6875,0.546875,0.6875
17,0.7572050094604492,0.6660786290322581,0.6920979022979736,0.703125,0.375,0.703125
18,0.7608362436294556,0.6668346774193549,0.6857318878173828,0.703125,0.375,0.703125
19,0.7630475163459778,0.6691028225806451,0.6899310946464539,0.703125,0.375,0.703125
